County,Have_ever_had_a_pregnancy_loss_(%),Number_of_women
Mombasa,1,143
Kwale,2.9,118
Kilifi,1.3,224
Tana River,1.4,27
Lamu,0.8,24
Taita/Taveta,1.8,30
Garissa,0.2,85
Wajir,0.5,45
Mandera,0.4,49
Marsabit,5.2,20
Isiolo,0.4,27
Meru,1,206
Tharaka-Nithi,0,39
Embu,0.4,49
Kitui,0,142
Machakos,0,178
Makueni,0,151
Nyandarua,0.2,93
Nyeri,0,74
Kirinyaga,0,64
Murangâ€™a,0,139
Kiambu,0,267
Turkana,0,56
West Pokot,2.7,82
Samburu,5.2,28
Trans Nzoia,1.9,146
Uasin Gishu,1.9,158
Elgeyo/Marakwet,1.4,32
Nandi,0.8,118
Baringo,1.5,86
Laikipia,0.6,69
Nakuru,0.8,283
Narok,2.5,176
Kajiado,0,97
Kericho,0,135
Bomet,1.2,152
Kakamega,0.5,328
Vihiga,0,113
Bungoma,1.8,294
Busia,2.9,149
Siaya,0.5,130
Kisumu,0,157
Homa Bay,2.6,159
Migori,0.6,159
Kisii,0.4,192
Nyamira,0,81
Nairobi City,0,452